tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
HYP,0545 DMH Nkx2-4 Glut_2,CS20230722_SUPT_0545,P12,6,-0.29733746423116436,0.17917364782163778,TRUE
AMY,0004 IT EP-CLA Glut_2,CS20230722_SUPT_0004,P8,6,0.2967758342861155,0.2086978620390421,TRUE
AMY,0285 STR-PAL Chst9 Gaba_1,CS20230722_SUPT_0285,P5,6,-0.2928072359961588,0.18715587038752796,TRUE
HYP,0544 DMH Nkx2-4 Glut_1,CS20230722_SUPT_0544,P8,6,-0.29202973118102177,0.19066936554060565,TRUE
HYP,0423 BST-MPN Six3 Nrgn Gaba_4,CS20230722_SUPT_0423,P6,6,0.29134474524083664,0.14606287050090175,TRUE
AMY,0511 COAa-PAA-MEA Barhl2 Glut_3,CS20230722_SUPT_0511,P19,6,-0.28884961001443665,0.09551591959419851,TRUE
HYP,0575 LHA-AHN-PVH Otp Trh Glut_2,CS20230722_SUPT_0575,P3,6,0.2877772145529416,0.1127917333347585,TRUE
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P12,6,-0.28656402520004903,0.18988378249030657,TRUE
HYP,0444 PVHd-SBPV Six3 Prox1 Gaba_3,CS20230722_SUPT_0444,P14,6,-0.2862546505981311,0.18989662017038075,TRUE
HYP,0437 SCH Six6 Cdc14a Gaba_2,CS20230722_SUPT_0437,P0,6,0.28620288802517546,0.15102237310991645,TRUE
HYP,0565 VMH Fezf1 Glut_3,CS20230722_SUPT_0565,P12,6,-0.2851961665163312,0.10011816489853917,TRUE
HYP,0422 BST-MPN Six3 Nrgn Gaba_3,CS20230722_SUPT_0422,P15,6,0.282259758292135,0.1827696738765111,TRUE
HYP,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,CS20230722_SUPT_0447,P1,6,0.2812838108229715,0.18685927196367413,TRUE
HYP,0546 MPN-MPO-PVpo Hmx2 Glut_1,CS20230722_SUPT_0546,P19,6,0.27998863715951655,0.17462996625312296,TRUE
HYP,0449 AHN-SBPV-PVHd Pdrm12 Gaba_4,CS20230722_SUPT_0449,P19,6,0.2794830716587773,0.1277160800492627,TRUE
HYP,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,CS20230722_SUPT_0452,P2,6,0.2766125997405155,0.12727000416542994,TRUE
HYP,0448 AHN-SBPV-PVHd Pdrm12 Gaba_3,CS20230722_SUPT_0448,P9,6,0.2760598540368842,0.2145019394176325,TRUE
HYP,0470 DMH-LHA Gsx1 Gaba_1,CS20230722_SUPT_0470,P13,6,-0.27470692334615665,0.17562376303087004,TRUE
HYP,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,CS20230722_SUPT_0447,P14,6,0.2741284523128077,0.16308490887860322,TRUE
HYP,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,CS20230722_SUPT_0451,P14,6,0.27234432985318197,0.3054137456736499,TRUE
AMY,0386 CEA-BST Ebf1 Pdyn Gaba_3,CS20230722_SUPT_0386,P1,6,0.2714786998880512,0.18556735260234464,TRUE
HYP,0423 BST-MPN Six3 Nrgn Gaba_4,CS20230722_SUPT_0423,P5,6,0.2690010337500433,0.16997417400207548,TRUE
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P19,6,-0.2674145548943599,0.13057585530094648,TRUE
