tissue,supertype_label,supertype_name,rank,n_wildr,mean_abs_h,max_abs_h
AMY,CS20230722_SUPT_0175,0175 Vip Gaba_3,118,6,0.21139309371864654,0.8520139944451114
AMY,CS20230722_SUPT_1160,1160 Astro-NT NN_2,63,6,0.20742302342154736,1.285237780187859
HYP,CS20230722_SUPT_0491,0491 DMH Hmx2 Gaba_5,93,6,0.20716384665151003,0.7633165089699507
HYP,CS20230722_SUPT_0576,0576 LHA-AHN-PVH Otp Trh Glut_3,139,6,0.2058156211584157,0.6795823866822859
HYP,CS20230722_SUPT_0422,0422 BST-MPN Six3 Nrgn Gaba_3,120,6,0.205115160768868,0.7008370320396612
HYP,CS20230722_SUPT_0455,0455 SBPV-PVa Six6 Satb2 Gaba_3,113,6,0.20463989788190373,0.6549337623924745
HYP,CS20230722_SUPT_0447,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,119,6,0.203589315037202,0.7534950895026975
HYP,CS20230722_SUPT_0530,0530 SI-MA-LPO-LHA Skor1 Glut_1,55,6,0.20276707080277478,0.6236324632338953
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,101,6,0.20238466464967841,0.6372564361575931
HYP,CS20230722_SUPT_0579,0579 AHN-RCH-LHA Otp Fezf1 Glut_1,90,6,0.20069300929007153,1.0950177324518449
AMY,CS20230722_SUPT_1163,1163 Astro-TE NN_3,13,6,0.20016865000067696,1.0053816855926498
AMY,CS20230722_SUPT_0511,0511 COAa-PAA-MEA Barhl2 Glut_3,57,6,0.19998170695147005,0.6221489137983119
AMY,CS20230722_SUPT_0203,0203 Lamp5 Lhx6 Gaba_1,117,6,0.1990616116677846,0.6766027500759204
AMY,CS20230722_SUPT_0362,0362 MEA-BST Lhx6 Nfib Gaba_6,45,6,0.19905721400646612,0.8348827925402691
AMY,CS20230722_SUPT_1184,1184 MOL NN_4,11,6,0.19823527203998956,0.8804771174499331
HYP,CS20230722_SUPT_0555,0555 ARH-PVp Tbx3 Glut_2,81,6,0.1982109989750131,0.6741207833295453
HYP,CS20230722_SUPT_0437,0437 SCH Six6 Cdc14a Gaba_2,62,6,0.19795273520463488,0.6307776226954459
HYP,CS20230722_SUPT_0587,0587 PVH-SO-PVa Otp Glut_3,25,6,0.1969716905871875,0.7865270250187393
HYP,CS20230722_SUPT_0444,0444 PVHd-SBPV Six3 Prox1 Gaba_3,127,6,0.19627269004894282,0.6106351788577542
HYP,CS20230722_SUPT_0569,0569 VMH Nr5a1 Glut_4,22,6,0.1960774441354306,0.6858637927766453
AMY,CS20230722_SUPT_0368,0368 CEA-BST Six3 Cyp26b1 Gaba_2,2,6,0.19507102216666597,0.8344328266899307
HYP,CS20230722_SUPT_0567,0567 VMH Nr5a1 Glut_2,83,6,0.19502076783905584,0.855773922009591
AMY,CS20230722_SUPT_0512,0512 COAa-PAA-MEA Barhl2 Glut_4,108,6,0.1927159574701135,0.7341271043078861
HYP,CS20230722_SUPT_0552,0552 DMH Hmx2 Glut_1,75,6,0.19249596529454746,0.6638493865247953
HYP,CS20230722_SUPT_0565,0565 VMH Fezf1 Glut_3,38,6,0.1921149722159813,0.5708707357378213
HYP,CS20230722_SUPT_0488,0488 DMH Hmx2 Gaba_2,109,6,0.1917314851388026,0.8836118708857105
HYP,CS20230722_SUPT_1173,1173 Tanycyte NN_2,100,6,0.19131647265995408,0.751113688643438
AMY,CS20230722_SUPT_0373,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,131,6,0.19093342723669054,0.6180979407507067
AMY,CS20230722_SUPT_0061,0061 LA-BLA-BMA-PA Glut_2,10,6,0.1901728807482027,1.5232990108919895
HYP,CS20230722_SUPT_0481,0481 TMd-DMH Foxd2 Gaba_1,60,6,0.18952693440719134,0.7448036549760153
HYP,CS20230722_SUPT_0454,0454 SBPV-PVa Six6 Satb2 Gaba_2,98,6,0.18789740222064275,0.6598729492849957
AMY,CS20230722_SUPT_0286,0286 STR-PAL Chst9 Gaba_2,48,6,0.18657527716135217,0.7297321318675898
HYP,CS20230722_SUPT_0443,0443 PVHd-SBPV Six3 Prox1 Gaba_2,121,6,0.18555241303862502,0.6995461513048391
HYP,CS20230722_SUPT_0524,0524 LHA Barhl2 Glut_1,67,6,0.185080190604767,0.7930935042563967
AMY,CS20230722_SUPT_0204,0204 Pvalb chandelier Gaba_1,137,6,0.18250915940856235,0.5568952752129904
AMY,CS20230722_SUPT_0039,0039 L2/3 IT PIR-ENTl Glut_1,21,6,0.18135635078576082,1.283887271544937
AMY,CS20230722_SUPT_0230,0230 Sst Gaba_17,54,6,0.17918542595589804,0.7876276366033931
HYP,CS20230722_SUPT_0586,0586 PVH-SO-PVa Otp Glut_2,136,6,0.1788166038559251,0.7718229612232399
AMY,CS20230722_SUPT_0105,0105 L6b EPd Glut_3,26,6,0.17875686920289682,0.5349177313428872
AMY,CS20230722_SUPT_0274,0274 STR D2 Gaba_1,58,6,0.17760537435723514,0.5752486167219576
HYP,CS20230722_SUPT_0487,0487 DMH Hmx2 Gaba_1,44,6,0.17707857494938492,0.7035682868953649
AMY,CS20230722_SUPT_0374,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,70,6,0.17681824930524226,0.5670588617840684
HYP,CS20230722_SUPT_0442,0442 PVHd-SBPV Six3 Prox1 Gaba_1,37,6,0.17606350095836096,0.8243588752129869
HYP,CS20230722_SUPT_0566,0566 VMH Nr5a1 Glut_1,123,6,0.1746612488090521,0.6685997836501036
HYP,CS20230722_SUPT_0588,0588 PVH-SO-PVa Otp Glut_4,3,6,0.17401525237193644,0.5968711465245157
HYP,CS20230722_SUPT_0480,0480 TU-ARH Otp Six6 Gaba_3,53,6,0.17378601152175632,0.6952484710692025
AMY,CS20230722_SUPT_0538,0538 MEA Otp Foxp2 Glut_1,115,6,0.1726184288624931,0.5120828754730289
AMY,CS20230722_SUPT_0065,0065 LA-BLA-BMA-PA Glut_6,9,6,0.1709516695030091,0.9297225053410452
AMY,CS20230722_SUPT_0342,0342 MEA-BST Sox6 Gaba_6,107,6,0.1705402033904916,0.7285428451273442
AMY,CS20230722_SUPT_1179,1179 OPC NN_1,40,6,0.16974144412361,1.1442811966547746
HYP,CS20230722_SUPT_1160,1160 Astro-NT NN_2,12,6,0.168490317388249,0.8334783183676364
HYP,CS20230722_SUPT_0466,0466 ZI Pax6 Gaba_8,29,6,0.1684645016101033,0.7420764967685765
AMY,CS20230722_SUPT_0386,0386 CEA-BST Ebf1 Pdyn Gaba_3,92,6,0.1670301664357196,0.623141446165909
AMY,CS20230722_SUPT_0215,0215 Sst Gaba_2,79,6,0.1658529214902118,1.0469424861433196
HYP,CS20230722_SUPT_0611,0611 PH Pitx2 Glut_2,39,6,0.16499491459823545,0.6523272864025738
HYP,CS20230722_SUPT_0568,0568 VMH Nr5a1 Glut_3,1,6,0.16351818413635244,0.5614190549005406
HYP,CS20230722_SUPT_0458,0458 AHN Onecut3 Gaba_3,97,6,0.1633338018570314,0.5560230559366626
HYP,CS20230722_SUPT_0459,0459 ZI Pax6 Gaba_1,91,6,0.16257223427543444,0.850616542504026
AMY,CS20230722_SUPT_0209,0209 Pvalb Gaba_5,68,6,0.1620889009360387,0.49379597478447734
AMY,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,77,6,0.1607817801474246,0.6591417103785454
AMY,CS20230722_SUPT_0347,0347 MEA-BST Lhx6 Sp9 Gaba_1,56,6,0.15931289223785902,0.6644161780890252
HYP,CS20230722_SUPT_0471,0471 DMH-LHA Gsx1 Gaba_2,59,6,0.15803200879656332,0.7458944267225418
HYP,CS20230722_SUPT_0436,0436 SCH Six6 Cdc14a Gaba_1,128,6,0.15673780225660278,0.6329324201598726
HYP,CS20230722_SUPT_0602,0602 STN-PSTN Pitx2 Glut_5,46,6,0.15625775004553158,0.8185874101370915
